,_id,count,date,partido
0,03/15/18,81,2018-03-15,anr
1,03/16/18,417,2018-03-16,anr
2,03/17/18,593,2018-03-17,anr
3,03/18/18,878,2018-03-18,anr
4,03/19/18,1027,2018-03-19,anr
5,03/20/18,775,2018-03-20,anr
6,03/21/18,1582,2018-03-21,anr
7,03/22/18,834,2018-03-22,anr
8,03/23/18,1176,2018-03-23,anr
9,03/24/18,994,2018-03-24,anr
10,03/25/18,841,2018-03-25,anr
11,03/26/18,353,2018-03-26,anr
12,03/27/18,26,2018-03-27,anr
13,03/28/18,271,2018-03-28,anr
14,03/29/18,233,2018-03-29,anr
15,03/30/18,411,2018-03-30,anr
16,03/31/18,269,2018-03-31,anr
17,04/01/18,373,2018-04-01,anr
18,04/02/18,400,2018-04-02,anr
19,04/03/18,81,2018-04-03,anr
20,04/04/18,44,2018-04-04,anr
21,04/05/18,69,2018-04-05,anr
22,04/06/18,92,2018-04-06,anr
23,04/07/18,44,2018-04-07,anr
24,04/08/18,22,2018-04-08,anr
25,04/09/18,114,2018-04-09,anr
26,04/10/18,489,2018-04-10,anr
27,04/11/18,462,2018-04-11,anr
28,04/12/18,506,2018-04-12,anr
29,04/13/18,444,2018-04-13,anr
30,04/14/18,496,2018-04-14,anr
31,04/15/18,1893,2018-04-15,anr
32,04/16/18,683,2018-04-16,anr
33,04/17/18,356,2018-04-17,anr
34,04/18/18,317,2018-04-18,anr
35,04/19/18,293,2018-04-19,anr
36,04/20/18,192,2018-04-20,anr
37,04/21/18,242,2018-04-21,anr
38,04/22/18,377,2018-04-22,anr
39,04/23/18,27,2018-04-23,anr
40,04/24/18,34,2018-04-24,anr
41,04/25/18,14,2018-04-25,anr
42,04/26/18,3,2018-04-26,anr
43,04/27/18,1,2018-04-27,anr
44,04/28/18,1,2018-04-28,anr
45,04/30/18,1,2018-04-30,anr
0,03/15/18,146,2018-03-15,plra
1,03/16/18,127,2018-03-16,plra
2,03/17/18,168,2018-03-17,plra
3,03/18/18,391,2018-03-18,plra
4,03/19/18,489,2018-03-19,plra
5,03/20/18,425,2018-03-20,plra
6,03/21/18,338,2018-03-21,plra
7,03/22/18,475,2018-03-22,plra
8,03/23/18,512,2018-03-23,plra
9,03/24/18,306,2018-03-24,plra
10,03/25/18,347,2018-03-25,plra
11,03/26/18,181,2018-03-26,plra
12,03/27/18,251,2018-03-27,plra
13,03/28/18,41,2018-03-28,plra
14,03/29/18,13,2018-03-29,plra
15,03/30/18,38,2018-03-30,plra
16,03/31/18,149,2018-03-31,plra
17,04/01/18,52,2018-04-01,plra
18,04/02/18,336,2018-04-02,plra
19,04/03/18,96,2018-04-03,plra
20,04/04/18,80,2018-04-04,plra
21,04/05/18,102,2018-04-05,plra
22,04/06/18,21,2018-04-06,plra
23,04/07/18,18,2018-04-07,plra
24,04/08/18,37,2018-04-08,plra
25,04/09/18,291,2018-04-09,plra
26,04/10/18,344,2018-04-10,plra
27,04/11/18,317,2018-04-11,plra
28,04/12/18,106,2018-04-12,plra
29,04/13/18,501,2018-04-13,plra
30,04/14/18,327,2018-04-14,plra
31,04/15/18,9340,2018-04-15,plra
32,04/16/18,2064,2018-04-16,plra
33,04/17/18,1204,2018-04-17,plra
34,04/18/18,1073,2018-04-18,plra
35,04/19/18,1696,2018-04-19,plra
36,04/20/18,898,2018-04-20,plra
37,04/21/18,1068,2018-04-21,plra
38,04/22/18,4902,2018-04-22,plra
39,04/23/18,813,2018-04-23,plra
40,04/24/18,3259,2018-04-24,plra
41,04/25/18,1627,2018-04-25,plra
42,04/26/18,772,2018-04-26,plra
43,04/27/18,314,2018-04-27,plra
44,04/28/18,329,2018-04-28,plra
45,04/29/18,76,2018-04-29,plra
46,04/30/18,3,2018-04-30,plra
47,05/01/18,0,2018-05-01,plra
0,03/15/18,122,2018-03-15,fg
1,03/16/18,179,2018-03-16,fg
2,03/17/18,145,2018-03-17,fg
3,03/18/18,289,2018-03-18,fg
4,03/19/18,201,2018-03-19,fg
5,03/20/18,246,2018-03-20,fg
6,03/21/18,319,2018-03-21,fg
7,03/22/18,375,2018-03-22,fg
8,03/23/18,233,2018-03-23,fg
9,03/24/18,257,2018-03-24,fg
10,03/25/18,410,2018-03-25,fg
11,03/26/18,93,2018-03-26,fg
12,03/27/18,39,2018-03-27,fg
13,03/28/18,17,2018-03-28,fg
14,03/29/18,25,2018-03-29,fg
15,03/30/18,9,2018-03-30,fg
16,03/31/18,24,2018-03-31,fg
17,04/01/18,62,2018-04-01,fg
18,04/02/18,222,2018-04-02,fg
19,04/03/18,82,2018-04-03,fg
20,04/04/18,60,2018-04-04,fg
21,04/05/18,64,2018-04-05,fg
22,04/06/18,26,2018-04-06,fg
23,04/07/18,20,2018-04-07,fg
24,04/08/18,27,2018-04-08,fg
25,04/09/18,92,2018-04-09,fg
26,04/10/18,75,2018-04-10,fg
27,04/11/18,93,2018-04-11,fg
28,04/12/18,67,2018-04-12,fg
29,04/13/18,86,2018-04-13,fg
30,04/14/18,78,2018-04-14,fg
31,04/15/18,422,2018-04-15,fg
32,04/16/18,375,2018-04-16,fg
33,04/17/18,334,2018-04-17,fg
34,04/18/18,340,2018-04-18,fg
35,04/19/18,767,2018-04-19,fg
36,04/20/18,651,2018-04-20,fg
37,04/21/18,575,2018-04-21,fg
38,04/22/18,494,2018-04-22,fg
39,04/23/18,195,2018-04-23,fg
40,04/24/18,1128,2018-04-24,fg
41,04/25/18,367,2018-04-25,fg
42,04/26/18,276,2018-04-26,fg
43,04/27/18,50,2018-04-27,fg
44,04/28/18,56,2018-04-28,fg
45,04/29/18,30,2018-04-29,fg
46,04/30/18,3,2018-04-30,fg
47,05/01/18,6,2018-05-01,fg
48,05/02/18,6,2018-05-02,fg
49,05/03/18,7,2018-05-03,fg
0,03/15/18,51,2018-03-15,ppq
1,03/16/18,101,2018-03-16,ppq
2,03/17/18,67,2018-03-17,ppq
3,03/18/18,180,2018-03-18,ppq
4,03/19/18,117,2018-03-19,ppq
5,03/20/18,165,2018-03-20,ppq
6,03/21/18,333,2018-03-21,ppq
7,03/22/18,119,2018-03-22,ppq
8,03/23/18,60,2018-03-23,ppq
9,03/24/18,32,2018-03-24,ppq
10,03/25/18,106,2018-03-25,ppq
11,03/26/18,13,2018-03-26,ppq
12,03/31/18,2,2018-03-31,ppq
13,04/01/18,1,2018-04-01,ppq
14,04/06/18,2,2018-04-06,ppq
15,04/09/18,3,2018-04-09,ppq
16,04/10/18,2,2018-04-10,ppq
17,04/11/18,3,2018-04-11,ppq
18,04/12/18,24,2018-04-12,ppq
19,04/13/18,12,2018-04-13,ppq
20,04/14/18,7,2018-04-14,ppq
21,04/15/18,33,2018-04-15,ppq
22,04/16/18,9,2018-04-16,ppq
23,04/17/18,119,2018-04-17,ppq
24,04/18/18,97,2018-04-18,ppq
25,04/19/18,247,2018-04-19,ppq
26,04/20/18,130,2018-04-20,ppq
27,04/21/18,5,2018-04-21,ppq
28,04/22/18,31,2018-04-22,ppq
29,04/23/18,175,2018-04-23,ppq
30,04/24/18,857,2018-04-24,ppq
31,04/25/18,131,2018-04-25,ppq
32,04/26/18,181,2018-04-26,ppq
33,04/27/18,579,2018-04-27,ppq
34,04/28/18,230,2018-04-28,ppq
35,04/29/18,36,2018-04-29,ppq
36,04/30/18,46,2018-04-30,ppq
37,05/01/18,10,2018-05-01,ppq
38,05/02/18,6,2018-05-02,ppq
0,03/15/18,60,2018-03-15,hagamos
1,03/16/18,160,2018-03-16,hagamos
2,03/17/18,34,2018-03-17,hagamos
3,03/18/18,17,2018-03-18,hagamos
4,03/19/18,21,2018-03-19,hagamos
5,03/20/18,297,2018-03-20,hagamos
6,03/21/18,248,2018-03-21,hagamos
7,03/22/18,184,2018-03-22,hagamos
8,03/23/18,201,2018-03-23,hagamos
9,03/24/18,105,2018-03-24,hagamos
10,03/25/18,65,2018-03-25,hagamos
11,03/26/18,14,2018-03-26,hagamos
12,04/02/18,2,2018-04-02,hagamos
13,04/10/18,1,2018-04-10,hagamos
14,04/12/18,5,2018-04-12,hagamos
15,04/13/18,34,2018-04-13,hagamos
16,04/15/18,2,2018-04-15,hagamos
17,04/16/18,1,2018-04-16,hagamos
18,04/17/18,4,2018-04-17,hagamos
19,04/18/18,52,2018-04-18,hagamos
20,04/19/18,63,2018-04-19,hagamos
21,04/20/18,31,2018-04-20,hagamos
22,04/21/18,47,2018-04-21,hagamos
23,04/22/18,36,2018-04-22,hagamos
24,04/23/18,50,2018-04-23,hagamos
25,04/24/18,289,2018-04-24,hagamos
26,04/25/18,30,2018-04-25,hagamos
27,04/26/18,47,2018-04-26,hagamos
28,04/27/18,9,2018-04-27,hagamos
29,04/28/18,44,2018-04-28,hagamos
30,04/29/18,3,2018-04-29,hagamos
31,04/30/18,2,2018-04-30,hagamos
0,03/15/18,96,2018-03-15,pdp
1,03/16/18,404,2018-03-16,pdp
2,03/17/18,551,2018-03-17,pdp
3,03/18/18,675,2018-03-18,pdp
4,03/19/18,453,2018-03-19,pdp
5,03/20/18,1221,2018-03-20,pdp
6,03/21/18,1116,2018-03-21,pdp
7,03/22/18,915,2018-03-22,pdp
8,03/23/18,718,2018-03-23,pdp
9,03/24/18,761,2018-03-24,pdp
10,03/25/18,618,2018-03-25,pdp
11,03/26/18,9,2018-03-26,pdp
12,03/28/18,14,2018-03-28,pdp
13,03/29/18,14,2018-03-29,pdp
14,03/30/18,100,2018-03-30,pdp
15,03/31/18,137,2018-03-31,pdp
16,04/01/18,50,2018-04-01,pdp
17,04/02/18,18,2018-04-02,pdp
18,04/03/18,2,2018-04-03,pdp
19,04/04/18,1,2018-04-04,pdp
20,04/05/18,11,2018-04-05,pdp
21,04/06/18,0,2018-04-06,pdp
22,04/08/18,11,2018-04-08,pdp
23,04/09/18,21,2018-04-09,pdp
24,04/10/18,219,2018-04-10,pdp
25,04/11/18,282,2018-04-11,pdp
26,04/12/18,184,2018-04-12,pdp
27,04/13/18,228,2018-04-13,pdp
28,04/14/18,188,2018-04-14,pdp
29,04/15/18,287,2018-04-15,pdp
30,04/16/18,319,2018-04-16,pdp
31,04/17/18,1069,2018-04-17,pdp
32,04/18/18,766,2018-04-18,pdp
33,04/19/18,917,2018-04-19,pdp
34,04/20/18,838,2018-04-20,pdp
35,04/21/18,257,2018-04-21,pdp
36,04/22/18,219,2018-04-22,pdp
37,04/23/18,752,2018-04-23,pdp
38,04/24/18,1086,2018-04-24,pdp
39,04/25/18,230,2018-04-25,pdp
40,04/26/18,1236,2018-04-26,pdp
41,04/27/18,235,2018-04-27,pdp
42,04/28/18,197,2018-04-28,pdp
43,04/29/18,31,2018-04-29,pdp
44,04/30/18,1,2018-04-30,pdp
45,05/01/18,1,2018-05-01,pdp
46,05/02/18,0,2018-05-02,pdp
0,03/15/18,1,2018-03-15,cruzada
1,03/16/18,11,2018-03-16,cruzada
2,03/18/18,35,2018-03-18,cruzada
3,03/19/18,10,2018-03-19,cruzada
4,03/21/18,11,2018-03-21,cruzada
5,03/22/18,94,2018-03-22,cruzada
6,03/23/18,6,2018-03-23,cruzada
7,03/24/18,6,2018-03-24,cruzada
8,03/25/18,7,2018-03-25,cruzada
9,03/26/18,1,2018-03-26,cruzada
10,04/12/18,23,2018-04-12,cruzada
11,04/13/18,23,2018-04-13,cruzada
12,04/14/18,8,2018-04-14,cruzada
13,04/15/18,4,2018-04-15,cruzada
14,04/16/18,4,2018-04-16,cruzada
15,04/17/18,2,2018-04-17,cruzada
16,04/18/18,47,2018-04-18,cruzada
17,04/19/18,54,2018-04-19,cruzada
18,04/20/18,1,2018-04-20,cruzada
19,04/21/18,2,2018-04-21,cruzada
20,04/22/18,24,2018-04-22,cruzada
21,04/23/18,549,2018-04-23,cruzada
22,04/24/18,573,2018-04-24,cruzada
23,04/25/18,62,2018-04-25,cruzada
24,04/26/18,17,2018-04-26,cruzada
25,04/27/18,26,2018-04-27,cruzada
26,04/28/18,82,2018-04-28,cruzada
27,04/30/18,1,2018-04-30,cruzada
28,05/01/18,2,2018-05-01,cruzada
29,05/02/18,0,2018-05-02,cruzada
0,03/15/18,12,2018-03-15,unace
1,03/16/18,41,2018-03-16,unace
2,03/17/18,52,2018-03-17,unace
3,03/18/18,40,2018-03-18,unace
4,03/19/18,61,2018-03-19,unace
5,03/20/18,73,2018-03-20,unace
6,03/21/18,55,2018-03-21,unace
7,03/22/18,20,2018-03-22,unace
8,03/23/18,66,2018-03-23,unace
9,03/24/18,10,2018-03-24,unace
10,03/25/18,7,2018-03-25,unace
11,04/10/18,15,2018-04-10,unace
12,04/11/18,87,2018-04-11,unace
13,04/12/18,30,2018-04-12,unace
14,04/13/18,45,2018-04-13,unace
15,04/14/18,28,2018-04-14,unace
16,04/15/18,132,2018-04-15,unace
17,04/16/18,21,2018-04-16,unace
18,04/17/18,88,2018-04-17,unace
19,04/18/18,69,2018-04-18,unace
20,04/19/18,35,2018-04-19,unace
21,04/20/18,110,2018-04-20,unace
22,04/21/18,5,2018-04-21,unace
23,04/22/18,11,2018-04-22,unace
0,03/15/18,11,2018-03-15,pen
1,03/16/18,204,2018-03-16,pen
2,03/17/18,2535,2018-03-17,pen
3,03/18/18,1317,2018-03-18,pen
4,03/19/18,645,2018-03-19,pen
5,03/20/18,187,2018-03-20,pen
6,03/21/18,162,2018-03-21,pen
7,03/22/18,86,2018-03-22,pen
8,03/23/18,59,2018-03-23,pen
9,03/24/18,96,2018-03-24,pen
10,03/25/18,76,2018-03-25,pen
11,03/26/18,27,2018-03-26,pen
12,04/06/18,5,2018-04-06,pen
13,04/07/18,0,2018-04-07,pen
14,04/09/18,21,2018-04-09,pen
15,04/11/18,6,2018-04-11,pen
16,04/12/18,2,2018-04-12,pen
17,04/13/18,9,2018-04-13,pen
18,04/14/18,12,2018-04-14,pen
19,04/15/18,5,2018-04-15,pen
20,04/16/18,14,2018-04-16,pen
21,04/17/18,9,2018-04-17,pen
22,04/18/18,8,2018-04-18,pen
23,04/19/18,42,2018-04-19,pen
24,04/20/18,11,2018-04-20,pen
25,04/21/18,1,2018-04-21,pen
26,04/22/18,26,2018-04-22,pen
27,04/23/18,56,2018-04-23,pen
28,04/24/18,26,2018-04-24,pen
29,04/25/18,1,2018-04-25,pen
30,04/26/18,47,2018-04-26,pen
31,04/27/18,9,2018-04-27,pen
32,04/28/18,4,2018-04-28,pen
33,05/02/18,0,2018-05-02,pen
0,03/15/18,51,2018-03-15,pmas
1,03/16/18,137,2018-03-16,pmas
2,03/17/18,1508,2018-03-17,pmas
3,03/18/18,974,2018-03-18,pmas
4,03/19/18,608,2018-03-19,pmas
5,03/20/18,499,2018-03-20,pmas
6,03/21/18,213,2018-03-21,pmas
7,03/22/18,98,2018-03-22,pmas
8,03/23/18,100,2018-03-23,pmas
9,03/24/18,24,2018-03-24,pmas
10,03/25/18,49,2018-03-25,pmas
11,03/27/18,151,2018-03-27,pmas
12,03/28/18,18,2018-03-28,pmas
13,03/29/18,2,2018-03-29,pmas
14,03/30/18,2,2018-03-30,pmas
15,03/31/18,6,2018-03-31,pmas
16,04/02/18,4,2018-04-02,pmas
17,04/03/18,9,2018-04-03,pmas
18,04/04/18,2,2018-04-04,pmas
19,04/09/18,3,2018-04-09,pmas
20,04/10/18,37,2018-04-10,pmas
21,04/11/18,296,2018-04-11,pmas
22,04/12/18,87,2018-04-12,pmas
23,04/13/18,110,2018-04-13,pmas
24,04/14/18,50,2018-04-14,pmas
25,04/15/18,85,2018-04-15,pmas
26,04/16/18,224,2018-04-16,pmas
27,04/17/18,241,2018-04-17,pmas
28,04/18/18,415,2018-04-18,pmas
29,04/19/18,875,2018-04-19,pmas
30,04/20/18,317,2018-04-20,pmas
31,04/21/18,15,2018-04-21,pmas
32,04/22/18,144,2018-04-22,pmas
33,04/23/18,162,2018-04-23,pmas
34,04/24/18,141,2018-04-24,pmas
35,04/25/18,82,2018-04-25,pmas
36,04/26/18,14,2018-04-26,pmas
37,04/27/18,1,2018-04-27,pmas
0,03/15/18,86,2018-03-15,avancemos
1,03/16/18,885,2018-03-16,avancemos
2,03/17/18,237,2018-03-17,avancemos
3,03/18/18,390,2018-03-18,avancemos
4,03/19/18,257,2018-03-19,avancemos
5,03/20/18,160,2018-03-20,avancemos
6,03/21/18,162,2018-03-21,avancemos
7,03/22/18,48,2018-03-22,avancemos
8,03/23/18,38,2018-03-23,avancemos
9,03/24/18,62,2018-03-24,avancemos
10,03/25/18,110,2018-03-25,avancemos
11,03/26/18,1,2018-03-26,avancemos
12,03/27/18,1,2018-03-27,avancemos
13,03/28/18,3,2018-03-28,avancemos
14,03/30/18,3,2018-03-30,avancemos
15,03/31/18,27,2018-03-31,avancemos
16,04/01/18,12,2018-04-01,avancemos
17,04/02/18,11,2018-04-02,avancemos
18,04/03/18,1,2018-04-03,avancemos
19,04/04/18,1,2018-04-04,avancemos
20,04/06/18,2,2018-04-06,avancemos
21,04/10/18,87,2018-04-10,avancemos
22,04/11/18,69,2018-04-11,avancemos
23,04/12/18,157,2018-04-12,avancemos
24,04/13/18,82,2018-04-13,avancemos
25,04/14/18,27,2018-04-14,avancemos
26,04/15/18,82,2018-04-15,avancemos
27,04/16/18,25,2018-04-16,avancemos
28,04/17/18,100,2018-04-17,avancemos
29,04/18/18,279,2018-04-18,avancemos
30,04/19/18,379,2018-04-19,avancemos
31,04/20/18,82,2018-04-20,avancemos
32,04/21/18,16,2018-04-21,avancemos
33,04/22/18,98,2018-04-22,avancemos
34,04/23/18,12,2018-04-23,avancemos
35,04/24/18,23,2018-04-24,avancemos
36,04/25/18,2,2018-04-25,avancemos
37,04/26/18,0,2018-04-26,avancemos
38,04/29/18,1,2018-04-29,avancemos
0,03/15/18,74,2018-03-15,ganar
1,03/16/18,94,2018-03-16,ganar
2,03/17/18,52,2018-03-17,ganar
3,03/18/18,207,2018-03-18,ganar
4,03/19/18,104,2018-03-19,ganar
5,03/20/18,52,2018-03-20,ganar
6,03/21/18,157,2018-03-21,ganar
7,03/22/18,125,2018-03-22,ganar
8,03/23/18,46,2018-03-23,ganar
9,03/24/18,115,2018-03-24,ganar
10,03/25/18,223,2018-03-25,ganar
11,03/26/18,293,2018-03-26,ganar
12,03/27/18,329,2018-03-27,ganar
13,03/28/18,71,2018-03-28,ganar
14,03/29/18,32,2018-03-29,ganar
15,03/30/18,24,2018-03-30,ganar
16,03/31/18,119,2018-03-31,ganar
17,04/01/18,77,2018-04-01,ganar
18,04/02/18,288,2018-04-02,ganar
19,04/03/18,161,2018-04-03,ganar
20,04/04/18,122,2018-04-04,ganar
21,04/05/18,159,2018-04-05,ganar
22,04/06/18,71,2018-04-06,ganar
23,04/07/18,41,2018-04-07,ganar
24,04/08/18,73,2018-04-08,ganar
25,04/09/18,259,2018-04-09,ganar
26,04/10/18,164,2018-04-10,ganar
27,04/11/18,345,2018-04-11,ganar
28,04/12/18,144,2018-04-12,ganar
29,04/13/18,276,2018-04-13,ganar
30,04/14/18,203,2018-04-14,ganar
31,04/15/18,661,2018-04-15,ganar
32,04/16/18,142,2018-04-16,ganar
33,04/17/18,494,2018-04-17,ganar
34,04/18/18,546,2018-04-18,ganar
35,04/19/18,484,2018-04-19,ganar
36,04/20/18,293,2018-04-20,ganar
37,04/21/18,147,2018-04-21,ganar
38,04/22/18,340,2018-04-22,ganar
39,04/23/18,16,2018-04-23,ganar
40,04/24/18,121,2018-04-24,ganar
41,04/25/18,139,2018-04-25,ganar
42,04/26/18,171,2018-04-26,ganar
43,04/27/18,20,2018-04-27,ganar
44,04/28/18,6,2018-04-28,ganar
45,04/29/18,1,2018-04-29,ganar
